equipo,nombre,posicion,rating
Argelia,Mastil Melvin,Portero,62
Argelia,Mandi Aissa,Defensa,79
Argelia,Abada Achref,Defensa,68
Argelia,Tougai Mohamed Amine,Defensa,67
Argelia,Belaid Zineddine,Defensa,66
Argelia,Zerrouki Ramiz,Mediocampista,75
Argelia,Mahrez Riyad,Delantero,84
Argelia,Aouar Houssem,Mediocampista,78
Argelia,Gouiri Amine,Delantero,77
Argelia,Chaibi Fares,Mediocampista,76
Argelia,Hadj Moussa Anis,Delantero,74
Argelia,Benbouali Nadhir,Delantero,66
Argelia,Hadjam Jaouen,Defensa,70
Argelia,Boudaoui Hicham,Mediocampista,74
Argelia,Ait-Nouri Rayan,Defensa,80
Argelia,Benbot Oussama,Portero,63
Argelia,Belghali Rak,Defensa,67
Argelia,Amoura Mohamed,Delantero,76
Argelia,Bentaleb Nabil,Mediocampista,75
Argelia,Boulbina Adil,Delantero,68
Argelia,Bensebaini Ramy,Defensa,78
Argelia,Maza Ibrahim,Mediocampista,72
Argelia,Zidane Luca,Portero,64
Argelia,Titraoui Yassine,Mediocampista,65
Argelia,Ghedjemis Fares,Delantero,67
Argelia,Chergui Samir,Defensa,65
Argentina,Musso Juan,Portero,82
Argentina,Senesi Marcos,Mediocampista,78
Argentina,Tagliafico Nicolas,Defensa,80
Argentina,Montiel Gonzalo,Defensa,78
Argentina,Paredes Leandro,Mediocampista,82
Argentina,Martinez Lisandro,Defensa,85
Argentina,De Paul Rodrigo,Mediocampista,85
Argentina,Barco Valentin,Mediocampista,73
Argentina,Alvarez Julian,Delantero,88
Argentina,Messi Lionel,Delantero,91
Argentina,Lo Celso Giovani,Mediocampista,81
Argentina,Rulli Geronimo,Portero,78
Argentina,Romero Cristian,Defensa,85
Argentina,Palacios Exequiel,Mediocampista,80
Argentina,Gonzalez Nico,Delantero,82
Argentina,Almada Thiago,Delantero,77
Argentina,Simeone Giuliano,Delantero,74
Argentina,Paz Nico,Mediocampista,74
Argentina,Otamendi Nicolas,Defensa,83
Argentina,Mac Allister Alexis,Mediocampista,85
Argentina,Lopez Jose Manuel,Delantero,68
Argentina,Martinez Lautaro,Delantero,89
Argentina,Martinez Emiliano,Portero,89
Argentina,Fernandez Enzo,Mediocampista,84
Argentina,Medina Facundo,Defensa,76
Argentina,Molina Nahuel,Defensa,82
Australia,Ryan Mathew,Portero,78
Australia,Degenek Milos,Defensa,72
Australia,Circati Alessandro,Defensa,70
Australia,Italiano Jacob,Defensa,68
Australia,Bos Jordan,Defensa,71
Australia,Geria Jason,Defensa,67
Australia,Leckie Mathew,Delantero,74
Australia,Metcalfe Connor,Mediocampista,72
