equipo,nombre,posicion,rating,liga
Argelia,Mastil Melvin,Portero,62,Europa
Argelia,Mandi Aissa,Defensa,79,Europa
Argelia,Abada Achref,Defensa,68,Champions
Argelia,Tougai Mohamed Amine,Defensa,67,Europa
Argelia,Belaid Zineddine,Defensa,66,Europa
Argelia,Zerrouki Ramiz,Mediocampista,75,Champions
Argelia,Mahrez Riyad,Delantero,84,Asia_Africa
Argelia,Aouar Houssem,Mediocampista,78,Champions
Argelia,Gouiri Amine,Delantero,77,Champions
Argelia,Chaibi Fares,Mediocampista,76,Champions
Argelia,Hadj Moussa Anis,Delantero,74,Champions
Argelia,Benbouali Nadhir,Delantero,66,Europa
Argelia,Hadjam Jaouen,Defensa,70,Europa
Argelia,Boudaoui Hicham,Mediocampista,74,Champions
Argelia,Ait-Nouri Rayan,Defensa,80,Champions
Argelia,Benbot Oussama,Portero,63,Europa
Argelia,Belghali Rak,Defensa,67,Europa
Argelia,Amoura Mohamed,Delantero,76,Champions
Argelia,Bentaleb Nabil,Mediocampista,75,Europa
Argelia,Boulbina Adil,Delantero,68,Europa
Argelia,Bensebaini Ramy,Defensa,78,Champions
Argelia,Maza Ibrahim,Mediocampista,72,Europa
Argelia,Zidane Luca,Portero,64,Europa
Argelia,Titraoui Yassine,Mediocampista,65,Europa
Argelia,Ghedjemis Fares,Delantero,67,Europa
Argelia,Chergui Samir,Defensa,65,Europa
Argentina,Musso Juan,Portero,82,Champions
Argentina,Senesi Marcos,Mediocampista,78,Champions
Argentina,Tagliafico Nicolas,Defensa,80,Champions
Argentina,Montiel Gonzalo,Defensa,78,Champions
Argentina,Paredes Leandro,Mediocampista,82,Champions
Argentina,Martinez Lisandro,Defensa,85,Champions
Argentina,De Paul Rodrigo,Mediocampista,85,Champions
Argentina,Barco Valentin,Mediocampista,73,America
Argentina,Alvarez Julian,Delantero,88,Champions
Argentina,Messi Lionel,Delantero,91,America
Argentina,Lo Celso Giovani,Mediocampista,81,Champions
Argentina,Rulli Geronimo,Portero,78,Champions
Argentina,Romero Cristian,Defensa,85,Champions
Argentina,Palacios Exequiel,Mediocampista,80,Champions
Argentina,Gonzalez Nico,Delantero,82,Champions
Argentina,Almada Thiago,Delantero,77,America
Argentina,Simeone Giuliano,Delantero,74,Champions
Argentina,Paz Nico,Mediocampista,74,Champions
Argentina,Otamendi Nicolas,Defensa,83,Champions
Argentina,Mac Allister Alexis,Mediocampista,85,Champions
Argentina,Lopez Jose Manuel,Delantero,68,America
Argentina,Martinez Lautaro,Delantero,89,Champions
