equipo,rival,goles_favor,goles_contra,fecha,competicion
Argentina,Venezuela,3,0,2025-09-04,Eliminatorias CONMEBOL
Argentina,Ecuador,0,1,2025-09-09,Eliminatorias CONMEBOL
Argentina,Venezuela,1,0,2025-10-10,Amistoso Internacional
Argentina,Puerto Rico,6,0,2025-10-14,Amistoso Internacional
Argentina,Angola,2,0,2025-11-14,Amistoso Internacional
Argentina,Mauritania,2,1,2026-03-27,Amistoso Internacional
Argentina,Zambia,5,0,2026-03-31,Amistoso Internacional
Argentina,Honduras,2,0,2026-06-06,Amistoso Internacional
Argentina,Islandia,3,0,2026-06-09,Amistoso Internacional
México,Sudáfrica,2,0,2026-06-11,Mundial 2026
México,Serbia,5,1,null,Amistoso Internacional
México,Australia,1,0,null,Amistoso Internacional
México,Ghana,2,0,null,Amistoso Internacional
México,Bélgica,1,1,null,Amistoso Internacional
México,Portugal,0,0,null,Amistoso Internacional
México,Estados Unidos,2,1,null,Copa Oro CONCACAF
México,Honduras,1,0,null,Copa Oro CONCACAF
Sudáfrica,México,0,2,2026-06-11,Mundial 2026
Sudáfrica,Jamaica,1,1,null,Amistoso Internacional
Sudáfrica,Nicaragua,0,0,null,Amistoso Internacional
Sudáfrica,Panamá,1,2,null,Amistoso Internacional
Sudáfrica,Panamá,1,1,null,Amistoso Internacional
Sudáfrica,Camerún,1,2,null,Copa Africana
Sudáfrica,Zimbabue,3,2,null,Copa Africana
Corea del Sur,República Checa,2,1,2026-06-12,Mundial 2026
Corea del Sur,El Salvador,1,0,null,Amistoso Internacional
Corea del Sur,Trinidad y Tobago,5,0,null,Amistoso Internacional
Corea del Sur,Austria,0,1,null,Amistoso Internacional
Corea del Sur,Costa de Marfil,0,4,null,Amistoso Internacional
Corea del Sur,Irak,2,0,null,Eliminatorias AFC
Corea del Sur,Japón,0,1,null,East Asian Championship
República Checa,Corea del Sur,1,2,2026-06-12,Mundial 2026
República Checa,Guatemala,3,1,null,Amistoso Internacional
República Checa,Kosovo,2,1,null,Amistoso Internacional
República Checa,Dinamarca,2,2,null,Eliminatorias UEFA
República Checa,Irlanda,2,2,null,Eliminatorias UEFA
República Checa,Gibraltar,6,0,null,Eliminatorias UEFA
República Checa,San Marino,1,0,null,Amistoso Internacional
República Checa,Islas Feroe,1,2,null,Eliminatorias UEFA
Canadá,Bosnia y Herzegovina,1,1,2026-06-12,Mundial 2026
Canadá,Islandia,1,1,null,Amistoso Internacional
Canadá,Uzbekistán,2,0,null,Amistoso Internacional
Canadá,Túnez,0,0,null,Amistoso Internacional
Canadá,Islandia,2,2,null,Amistoso Internacional
Canadá,Guatemala,1,0,null,Amistoso Internacional
Canadá,Guatemala,1,1,null,Copa Oro CONCACAF
Canadá,El Salvador,2,0,null,Copa Oro CONCACAF
Canadá,Curazao,1,1,null,Copa Oro CONCACAF
Canadá,Honduras,6,0,null,Copa Oro CONCACAF
Bosnia y Herzegovina,Canadá,1,1,2026-06-12,Mundial 2026
Bosnia y Herzegovina,Panamá,1,1,null,Amistoso Internacional
Bosnia y Herzegovina,Macedonia del Norte,0,0,null,Amistoso Internacional
Bosnia y Herzegovina,Italia,1,1,null,Eliminatorias UEFA
Bosnia y Herzegovina,Gales,1,1,null,Eliminatorias UEFA
Bosnia y Herzegovina,Austria,1,1,null,Eliminatorias UEFA
Bosnia y Herzegovina,Rumanía,3,1,null,Eliminatorias UEFA
Bosnia y Herzegovina,Chipre,2,2,null,Eliminatorias UEFA
Bosnia y Herzegovina,Austria,1,2,null,Eliminatorias UEFA
Bosnia y Herzegovina,San Marino,6,0,null,Eliminatorias UEFA
Catar,Suiza,1,1,2026-06-12,Mundial 2026
Catar,El Salvador,0,0,null,Amistoso Internacional
Catar,Irlanda,0,1,null,Amistoso Internacional
Catar,Túnez,0,3,null,Amistoso Internacional
Catar,Siria,1,1,null,Amistoso Internacional
Catar,Palestina,0,1,null,Amistoso Internacional
Catar,Zimbabue,1,2,null,Amistoso Internacional
Catar,Emiratos Árabes Unidos,2,1,null,Eliminatorias AFC
Catar,Omán,0,0,null,Eliminatorias AFC
Catar,Rusia,1,4,null,Amistoso Internacional
Suiza,Catar,1,1,2026-06-12,Mundial 2026
Suiza,Austria,2,0,null,Amistoso Internacional
Suiza,Serbia,1,0,null,Amistoso Internacional
Suiza,Alemania,3,4,2025-03-31,Amistoso Internacional
Suiza,Noruega,0,0,2025-03-31,Amistoso Internacional
Suiza,Jordania,4,1,2025-05-31,Amistoso Internacional
Suiza,Australia,1,1,2025-06-06,Amistoso Internacional
Suiza,Kosovo,4,0,2025-09-05,Eliminatorias UEFA
Suiza,Eslovenia,3,0,2025-09-08,Eliminatorias UEFA
Suiza,Suecia,2,0,2025-10-10,Eliminatorias UEFA
Suiza,Eslovenia,0,0,2025-10-13,Eliminatorias UEFA
Suiza,Suecia,4,1,2025-11-15,Eliminatorias UEFA
Suiza,Kosovo,1,1,2025-11-18,Eliminatorias UEFA
Brasil,Túnez,1,1,2025-03-25,Amistoso Internacional
Brasil,Francia,1,2,2025-03-26,Amistoso Internacional
Brasil,Croacia,3,1,2025-03-31,Amistoso Internacional
Brasil,Panamá,6,2,2025-05-31,Amistoso Internacional
Brasil,Egipto,2,1,2025-06-06,Amistoso Internacional
Brasil,Marruecos,1,1,2026-06-13,Mundial 2026
